Date,Average Temperature(℃),Month,Month Name,Year,Season,Season_Index
01/03/1947,1.5,3,Mar,1947,Spring,1
01/04/1947,10.5,4,Apr,1947,Spring,1
01/05/1947,15.9,5,May,1947,Spring,1
01/06/1947,18.7,6,Jun,1947,Summer,2
01/07/1947,22.9,7,Jul,1947,Summer,2
01/08/1947,25.1,8,Aug,1947,Summer,2
01/09/1947,19.6,9,Sep,1947,Autumn,3
01/10/1947,11.8,10,Oct,1947,Autumn,3
01/11/1947,3.5,11,Nov,1947,Autumn,3
01/12/1947,-5.4,12,Dec,1947,Winter,4
01/01/1948,-4.5,1,Jan,1948,Winter,4
01/02/1948,-1.4,2,Feb,1948,Winter,4
01/03/1948,4.7,3,Mar,1948,Spring,1
01/04/1948,12.5,4,Apr,1948,Spring,1
01/05/1948,16,5,May,1948,Spring,1
01/06/1948,20.9,6,Jun,1948,Summer,2
01/07/1948,24.3,7,Jul,1948,Summer,2
01/08/1948,25.8,8,Aug,1948,Summer,2
01/09/1948,20.2,9,Sep,1948,Autumn,3
01/10/1948,13.3,10,Oct,1948,Autumn,3
01/11/1948,5.1,11,Nov,1948,Autumn,3
01/12/1948,3.8,12,Dec,1948,Winter,4
01/01/1949,-3,1,Jan,1949,Winter,4
01/02/1949,1.3,2,Feb,1949,Winter,4
01/03/1949,3.4,3,Mar,1949,Spring,1
01/04/1949,9.9,4,Apr,1949,Spring,1
01/05/1949,16.4,5,May,1949,Spring,1
01/06/1949,20.5,6,Jun,1949,Summer,2
01/07/1949,24.8,7,Jul,1949,Summer,2
01/08/1949,26.1,8,Aug,1949,Summer,2
01/09/1949,20.8,9,Sep,1949,Autumn,3
01/10/1949,13.9,10,Oct,1949,Autumn,3
01/11/1949,7,11,Nov,1949,Autumn,3
01/12/1949,-1.3,12,Dec,1949,Winter,4
01/01/1954,-1.5,1,Jan,1954,Winter,4
01/02/1954,0.4,2,Feb,1954,Winter,4
01/03/1954,3.1,3,Mar,1954,Spring,1
01/04/1954,11.8,4,Apr,1954,Spring,1
01/05/1954,16.6,5,May,1954,Spring,1
01/06/1954,19.6,6,Jun,1954,Summer,2
01/07/1954,21.9,7,Jul,1954,Summer,2
01/08/1954,25.7,8,Aug,1954,Summer,2
01/09/1954,20.3,9,Sep,1954,Autumn,3
01/10/1954,12.5,10,Oct,1954,Autumn,3
01/11/1954,9.5,11,Nov,1954,Autumn,3
01/12/1954,-2.7,12,Dec,1954,Winter,4
01/01/1955,-5.6,1,Jan,1955,Winter,4
01/02/1955,-0.1,2,Feb,1955,Winter,4
01/03/1955,4.4,3,Mar,1955,Spring,1
01/04/1955,11.1,4,Apr,1955,Spring,1
01/05/1955,15.9,5,May,1955,Spring,1
01/06/1955,21.4,6,Jun,1955,Summer,2
01/07/1955,24.5,7,Jul,1955,Summer,2
01/08/1955,26.2,8,Aug,1955,Summer,2
01/09/1955,20.7,9,Sep,1955,Autumn,3
01/10/1955,12.6,10,Oct,1955,Autumn,3
01/11/1955,5.9,11,Nov,1955,Autumn,3
01/12/1955,0.6,12,Dec,1955,Winter,4
01/01/1956,-3.9,1,Jan,1956,Winter,4
01/02/1956,-3.4,2,Feb,1956,Winter,4
01/03/1956,3.7,3,Mar,1956,Spring,1
01/04/1956,9.5,4,Apr,1956,Spring,1
01/05/1956,15.1,5,May,1956,Spring,1
01/06/1956,19.7,6,Jun,1956,Summer,2
01/07/1956,24.3,7,Jul,1956,Summer,2
01/08/1956,24.8,8,Aug,1956,Summer,2
01/09/1956,20.4,9,Sep,1956,Autumn,3
01/10/1956,12.8,10,Oct,1956,Autumn,3
01/11/1956,3.2,11,Nov,1956,Autumn,3
01/12/1956,-5.2,12,Dec,1956,Winter,4
01/01/1957,-3.5,1,Jan,1957,Winter,4
01/02/1957,-4.3,2,Feb,1957,Winter,4
01/03/1957,0,3,Mar,1957,Spring,1
01/04/1957,10.4,4,Apr,1957,Spring,1
01/05/1957,16.9,5,May,1957,Spring,1
01/06/1957,20.1,6,Jun,1957,Summer,2
01/07/1957,22.4,7,Jul,1957,Summer,2
01/08/1957,24.1,8,Aug,1957,Summer,2
01/09/1957,18.9,9,Sep,1957,Autumn,3
01/10/1957,12.5,10,Oct,1957,Autumn,3
01/11/1957,8.3,11,Nov,1957,Autumn,3
01/12/1957,-0.5,12,Dec,1957,Winter,4
01/01/1958,-6,1,Jan,1958,Winter,4
01/02/1958,-0.8,2,Feb,1958,Winter,4
01/03/1958,3.7,3,Mar,1958,Spring,1
01/04/1958,10.8,4,Apr,1958,Spring,1
01/05/1958,16.3,5,May,1958,Spring,1
01/06/1958,22.2,6,Jun,1958,Summer,2
01/07/1958,25.6,7,Jul,1958,Summer,2
01/08/1958,23.8,8,Aug,1958,Summer,2
01/09/1958,19.8,9,Sep,1958,Autumn,3
01/10/1958,12.7,10,Oct,1958,Autumn,3
01/11/1958,6.7,11,Nov,1958,Autumn,3
01/12/1958,4,12,Dec,1958,Winter,4
01/01/1959,-5.1,1,Jan,1959,Winter,4
01/02/1959,2.4,2,Feb,1959,Winter,4
01/03/1959,6,3,Mar,1959,Spring,1
01/04/1959,10.2,4,Apr,1959,Spring,1
01/05/1959,17.9,5,May,1959,Spring,1
01/06/1959,20.4,6,Jun,1959,Summer,2
01/07/1959,24.4,7,Jul,1959,Summer,2
01/08/1959,25.8,8,Aug,1959,Summer,2
01/09/1959,20.8,9,Sep,1959,Autumn,3
01/10/1959,14.8,10,Oct,1959,Autumn,3
01/11/1959,5.8,11,Nov,1959,Autumn,3
01/12/1959,1.1,12,Dec,1959,Winter,4
01/01/1960,-3.3,1,Jan,1960,Winter,4
01/02/1960,1.7,2,Feb,1960,Winter,4
01/03/1960,6.7,3,Mar,1960,Spring,1
01/04/1960,10.6,4,Apr,1960,Spring,1
01/05/1960,16.5,5,May,1960,Spring,1
01/06/1960,20.6,6,Jun,1960,Summer,2
01/07/1960,24.8,7,Jul,1960,Summer,2
01/08/1960,26.2,8,Aug,1960,Summer,2
01/09/1960,20.8,9,Sep,1960,Autumn,3
01/10/1960,15.1,10,Oct,1960,Autumn,3
01/11/1960,7.1,11,Nov,1960,Autumn,3
01/12/1960,-1.8,12,Dec,1960,Winter,4
01/01/1961,-5.2,1,Jan,1961,Winter,4
01/02/1961,-0.9,2,Feb,1961,Winter,4
01/03/1961,5.4,3,Mar,1961,Spring,1
01/04/1961,11.7,4,Apr,1961,Spring,1
01/05/1961,17.3,5,May,1961,Spring,1
01/06/1961,21.9,6,Jun,1961,Summer,2
01/07/1961,26.2,7,Jul,1961,Summer,2
01/08/1961,26.8,8,Aug,1961,Summer,2
01/09/1961,21.5,9,Sep,1961,Autumn,3
01/10/1961,15.6,10,Oct,1961,Autumn,3
01/11/1961,8.9,11,Nov,1961,Autumn,3
01/12/1961,-0.6,12,Dec,1961,Winter,4
01/01/1962,-3.4,1,Jan,1962,Winter,4
01/02/1962,-0.7,2,Feb,1962,Winter,4
01/03/1962,3.2,3,Mar,1962,Spring,1
01/04/1962,10,4,Apr,1962,Spring,1
01/05/1962,17.6,5,May,1962,Spring,1
01/06/1962,21.1,6,Jun,1962,Summer,2
01/07/1962,26.1,7,Jul,1962,Summer,2
01/08/1962,25.1,8,Aug,1962,Summer,2
01/09/1962,20.3,9,Sep,1962,Autumn,3
01/10/1962,13.6,10,Oct,1962,Autumn,3
01/11/1962,6.4,11,Nov,1962,Autumn,3
01/12/1962,1.1,12,Dec,1962,Winter,4
01/01/1963,-9.1,1,Jan,1963,Winter,4
01/02/1963,-2.4,2,Feb,1963,Winter,4
01/03/1963,5.5,3,Mar,1963,Spring,1
01/04/1963,11.4,4,Apr,1963,Spring,1
01/05/1963,16.9,5,May,1963,Spring,1
01/06/1963,21.2,6,Jun,1963,Summer,2
01/07/1963,24.5,7,Jul,1963,Summer,2
01/08/1963,25.7,8,Aug,1963,Summer,2
01/09/1963,20.5,9,Sep,1963,Autumn,3
01/10/1963,13.5,10,Oct,1963,Autumn,3
01/11/1963,6.5,11,Nov,1963,Autumn,3
01/12/1963,0.8,12,Dec,1963,Winter,4
01/01/1964,-0.1,1,Jan,1964,Winter,4
01/02/1964,-3.5,2,Feb,1964,Winter,4
01/03/1964,3.8,3,Mar,1964,Spring,1
01/04/1964,14.1,4,Apr,1964,Spring,1
01/05/1964,18.6,5,May,1964,Spring,1
01/06/1964,21.6,6,Jun,1964,Summer,2
01/07/1964,24.7,7,Jul,1964,Summer,2
01/08/1964,26.3,8,Aug,1964,Summer,2
01/09/1964,20.3,9,Sep,1964,Autumn,3
01/10/1964,13.8,10,Oct,1964,Autumn,3
01/11/1964,6.3,11,Nov,1964,Autumn,3
01/12/1964,0.2,12,Dec,1964,Winter,4
01/01/1965,-4.2,1,Jan,1965,Winter,4
01/02/1965,-1.2,2,Feb,1965,Winter,4
01/03/1965,2.7,3,Mar,1965,Spring,1
01/04/1965,10.3,4,Apr,1965,Spring,1
01/05/1965,17.3,5,May,1965,Spring,1
01/06/1965,22.1,6,Jun,1965,Summer,2
01/07/1965,24.1,7,Jul,1965,Summer,2
01/08/1965,24.4,8,Aug,1965,Summer,2
01/09/1965,20.9,9,Sep,1965,Autumn,3
01/10/1965,14.8,10,Oct,1965,Autumn,3
01/11/1965,7,11,Nov,1965,Autumn,3
01/12/1965,-2,12,Dec,1965,Winter,4
01/01/1966,-4.6,1,Jan,1966,Winter,4
01/02/1966,0.1,2,Feb,1966,Winter,4
01/03/1966,4.8,3,Mar,1966,Spring,1
01/04/1966,11.8,4,Apr,1966,Spring,1
01/05/1966,18.3,5,May,1966,Spring,1
01/06/1966,20.5,6,Jun,1966,Summer,2
01/07/1966,23.6,7,Jul,1966,Summer,2
01/08/1966,26.7,8,Aug,1966,Summer,2
01/09/1966,19.7,9,Sep,1966,Autumn,3
01/10/1966,14.4,10,Oct,1966,Autumn,3
01/11/1966,5.9,11,Nov,1966,Autumn,3
01/12/1966,-3,12,Dec,1966,Winter,4
01/01/1967,-4.4,1,Jan,1967,Winter,4
01/02/1967,-2.4,2,Feb,1967,Winter,4
01/03/1967,4.8,3,Mar,1967,Spring,1
01/04/1967,11.8,4,Apr,1967,Spring,1
01/05/1967,19.3,5,May,1967,Spring,1
01/06/1967,21.3,6,Jun,1967,Summer,2
01/07/1967,25.5,7,Jul,1967,Summer,2
01/08/1967,26.7,8,Aug,1967,Summer,2
01/09/1967,20.7,9,Sep,1967,Autumn,3
01/10/1967,14.5,10,Oct,1967,Autumn,3
01/11/1967,6.5,11,Nov,1967,Autumn,3
01/12/1967,-4.9,12,Dec,1967,Winter,4
01/01/1968,-4,1,Jan,1968,Winter,4
01/02/1968,-4.4,2,Feb,1968,Winter,4
01/03/1968,4.4,3,Mar,1968,Spring,1
01/04/1968,12.6,4,Apr,1968,Spring,1
01/05/1968,17.2,5,May,1968,Spring,1
01/06/1968,21,6,Jun,1968,Summer,2
01/07/1968,24.7,7,Jul,1968,Summer,2
01/08/1968,24.9,8,Aug,1968,Summer,2
01/09/1968,20.9,9,Sep,1968,Autumn,3
01/10/1968,13,10,Oct,1968,Autumn,3
01/11/1968,7.6,11,Nov,1968,Autumn,3
01/12/1968,3.1,12,Dec,1968,Winter,4
01/01/1969,-3.5,1,Jan,1969,Winter,4
01/02/1969,-2.7,2,Feb,1969,Winter,4
01/03/1969,2.9,3,Mar,1969,Spring,1
01/04/1969,10.6,4,Apr,1969,Spring,1
01/05/1969,16.4,5,May,1969,Spring,1
01/06/1969,20,6,Jun,1969,Summer,2
01/07/1969,24,7,Jul,1969,Summer,2
01/08/1969,24.8,8,Aug,1969,Summer,2
01/09/1969,20.8,9,Sep,1969,Autumn,3
01/10/1969,13.9,10,Oct,1969,Autumn,3
01/11/1969,5,11,Nov,1969,Autumn,3
01/12/1969,-2,12,Dec,1969,Winter,4
01/01/1970,-4.8,1,Jan,1970,Winter,4
01/02/1970,-0.2,2,Feb,1970,Winter,4
01/03/1970,0.4,3,Mar,1970,Spring,1
01/04/1970,12.2,4,Apr,1970,Spring,1
01/05/1970,18.7,5,May,1970,Spring,1
01/06/1970,20.5,6,Jun,1970,Summer,2
01/07/1970,23,7,Jul,1970,Summer,2
01/08/1970,25.9,8,Aug,1970,Summer,2
01/09/1970,21.2,9,Sep,1970,Autumn,3
01/10/1970,14.9,10,Oct,1970,Autumn,3
01/11/1970,5.7,11,Nov,1970,Autumn,3
01/12/1970,-1,12,Dec,1970,Winter,4
01/01/1971,-2.4,1,Jan,1971,Winter,4
01/02/1971,-0.7,2,Feb,1971,Winter,4
01/03/1971,2,3,Mar,1971,Spring,1
01/04/1971,11.2,4,Apr,1971,Spring,1
01/05/1971,16.6,5,May,1971,Spring,1
01/06/1971,21.6,6,Jun,1971,Summer,2
01/07/1971,23.9,7,Jul,1971,Summer,2
01/08/1971,24.6,8,Aug,1971,Summer,2
01/09/1971,20.6,9,Sep,1971,Autumn,3
01/10/1971,13,10,Oct,1971,Autumn,3
01/11/1971,8.7,11,Nov,1971,Autumn,3
01/12/1971,-1.2,12,Dec,1971,Winter,4
01/01/1972,0.8,1,Jan,1972,Winter,4
01/02/1972,-0.6,2,Feb,1972,Winter,4
01/03/1972,5.3,3,Mar,1972,Spring,1
01/04/1972,11.5,4,Apr,1972,Spring,1
01/05/1972,16.4,5,May,1972,Spring,1
